127.0.0.1 - - [15/May/2023:09:08:28 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:34 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:34 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:35 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:44 +0200] "DELETE /arca/rest/animale/sbarca HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:44 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:56 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:56 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:59 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/May/2023:09:08:59 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [15/May/2023:09:09:07 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:09:07 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:09:22 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 795
0:0:0:0:0:0:0:1 - - [15/May/2023:09:09:30 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [15/May/2023:09:09:30 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:09:30 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:10:05 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:10:05 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:13:01 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:13:01 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:13:27 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:13:27 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:14:25 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:14:25 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:14:29 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:14:29 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:00 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:00 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:01 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:01 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:12 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:12 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:14 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:19 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:30 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:18:31 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:23:22 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:35:51 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/May/2023:09:40:35 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:40:35 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:40:36 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:10 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:39 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:40 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:41 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:42 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:52 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:56 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:49:56 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:50:06 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:53:07 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:53:08 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:53:17 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:31 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:33 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:33 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:43 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:45 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:09:54:45 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
